fid,x,y,xa,ya
14,-317.5,127.2,-303.2365576405985,136.74122851039547
14,-317.5,227.2,-306.2157539964865,227.80842691253227
15,-297.5,127.2,-284.95179094370064,136.3371417290428
15,-297.5,227.2,-287.4891547702525,227.55721173793503
16,-277.5,127.2,-266.9001848329622,135.7825610988666
16,-277.5,227.2,-269.15812955486246,227.3523122027948
17,-257.5,127.2,-248.95575522182432,135.83672770872477
17,-257.5,227.2,-250.87022316813022,227.40204348683613
18,-237.5,127.2,-230.5982990840899,135.27040960877406
18,-237.5,227.2,-232.56035319420394,227.04136983944449
19,-217.5,127.2,-212.14076275139826,134.92418503206434
19,-217.5,227.2,-214.00402474285485,226.60680555441382
22,-357.5,247.2,-343.7860125521793,247.2404540554999
23,-337.5,147.2,-321.98134674116113,155.0702675202199
23,-337.5,247.2,-325.63189915012987,247.18491708598108
24,-317.5,147.2,-303.64728208064923,154.7637048238882
24,-317.5,247.2,-306.87576434895277,246.7331038273464
25,-297.5,147.2,-285.6348352967843,154.6377745197886
25,-297.5,247.2,-288.3951861160156,246.47822158744702
26,-277.5,147.2,-267.25171686058604,153.8517416328952
26,-277.5,247.2,-270.05135580921603,246.3408582192119
27,-257.5,147.2,-249.05889483353621,153.58821183840294
27,-257.5,247.2,-251.52157273400388,245.93559997897614
28,-237.5,147.2,-230.86077795519105,153.67925411970174
28,-237.5,247.2,-233.0113916438626,245.7182241150083
29,-217.5,147.2,-212.38415723597478,153.28356154676865
29,-217.5,247.2,-214.4328860018909,245.39495752854125
30,-397.5,167.2,-358.9417809634789,173.56593675264932
31,-377.5,167.2,-340.7774006093096,173.58606163198274
31,-377.5,267.2,-344.7428859906372,266.14678279690776
32,-357.5,167.2,-322.24174223203215,172.57098238465844
32,-357.5,267.2,-325.76837279092496,265.39808983948296
33,-337.5,167.2,-304.4178194433153,173.19715270876674
33,-337.5,267.2,-307.3331883790973,265.33244064218115
34,-317.5,167.2,-286.0513516381932,172.473368160735
34,-317.5,267.2,-288.9186758885085,265.2437203221308
35,-297.5,167.2,-267.6991339811648,172.18691492016194
35,-297.5,267.2,-270.32379559356957,265.0861642189185
36,-277.5,167.2,-249.65491002187397,172.5142489673055
36,-277.5,267.2,-251.94611707169628,264.8085990595289
37,-257.5,167.2,-231.18635049100638,171.76280648391258
37,-257.5,267.2,-233.360586637832,264.50577142060996
38,-237.5,167.2,-212.74326399081332,171.52632015368533
38,-237.5,267.2,-214.66705710970038,263.95866822459135
42,-357.5,187.2,-341.48133056302237,191.76202802222411
42,-357.5,287.2,-345.3001762388827,284.83810589873536
43,-337.5,187.2,-323.16186699209766,191.55263090971806
43,-337.5,287.2,-326.6939972059257,284.6191091198439
44,-317.5,187.2,-304.8576958294821,191.45875602062492
44,-317.5,287.2,-307.9363625858682,284.5874018131378
45,-297.5,187.2,-286.6459900047646,191.2747184745338
45,-297.5,287.2,-288.95637751532024,283.8862032410865
46,-277.5,187.2,-268.228662174921,190.63286921327312
46,-277.5,287.2,-270.60666653691965,283.862807200698
47,-257.5,187.2,-249.76916156804396,190.2089983850134
47,-257.5,287.2,-251.8886782328923,283.3020206317075
48,-237.5,187.2,-231.36192298657338,189.6535519291193
48,-237.5,287.2,-233.47718603070945,283.0384727251411
49,-217.5,187.2,-213.19070686812748,189.67775908666806
49,-217.5,287.2,-215.208744013556,283.38213434990735
3,-332.5,107.2,-316.1779015549418,118.15111377807949
3,-332.5,207.2,-319.41461699415356,209.28074800763673
4,-312.5,107.2,-297.8371610885726,118.03127653447382
4,-312.5,207.2,-300.7544576951106,208.8848013349416
5,-292.5,107.2,-279.65253607015666,117.76430867491588
5,-292.5,207.2,-282.4396914743943,208.73828275972758
6,-272.5,107.2,-261.96529916318434,117.84605901139362
6,-272.5,207.2,-264.06469805740295,208.44795679915757
7,-252.5,107.2,-244.0764294844035,117.53069813552517
7,-252.5,207.2,-245.55067891412907,208.1815845567623
8,-232.5,107.2,-225.82298349438824,116.47881840346643
8,-232.5,207.2,-227.43625578647135,208.16037533437714
9,-212.5,107.2,-207.66256579804195,116.52560702374917
9,-212.5,207.2,-209.06447253751315,207.9314993871376
10,-392.5,127.2,-371.4999193539606,136.822247220534
12,-352.5,127.2,-334.99455733619857,136.26669145703045
12,-352.5,227.2,-338.77998475435396,227.9213038923112
13,-332.5,127.2,-316.9484820835277,136.641337435105
13,-332.5,227.2,-320.41890533459343,228.14236093718904
14,-312.5,127.2,-298.45803763204384,135.9108558944247
14,-312.5,227.2,-301.6183193707374,227.50103154939245
